args,params,similarity
item,object,0.1667
target.i,target,0.75
options,options,1
bindings,bindings,1
bindings,bindings,1
target,key,0.1667
row,row,1
.container,container,0.9
child,child,1
row,row,1
column,column,1
row,row,1
screenRange.start.row,row,0.1429
type.i,type,0.6667
decoration,decoration,1
marker,marker,1
screenRange,screenRange,1
reversed,reversed,1
type,type,1
decoration,decoration,1
screenRange,screenRange,1
reversed,reversed,1
decoration,decoration,1
screenRange,screenRange,1
marker.id,key,0.2222
decoration,decoration,1
marker,marker,1
screenRange,screenRange,1
reversed,reversed,1
decoration,decoration,1
marker,marker,1
decoration,decoration,1
screenRange,screenRange,1
decoration,decoration,1
screenRange,screenRange,1
reversed,reversed,1
decoration,decoration,1
screenRange,screenRange,1
marker,marker,1
gutterName,name,0.3
marker,marker,1
options,options,1
screenRange.start.row,row,0.1429
screenRange.start.column,column,0.25
screenRange.end.row,row,0.1579
screenRange.end.column,column,0.2727
item,item,1
screenPosition.row,row,0.1667
screenPosition.column,column,0.2857
panel,panel,1
atomHome,atomHome,1
compiler,compiler,1
filePath,filePath,1
extension,extension,1
typeName,typeName,1
enforcerFunction,enforcerFunction,1
source,styleSheet,0.2
params.context,context,0.5
styleElement,styleElement,1
openScopeNode,openScopeNode,1
text,text,1
activeClassName,activeClassName,1
activeStyle,activeStyle,1
openScopeNode,openScopeNode,1
text,text,1
activeClassName,activeClassName,1
activeStyle,activeStyle,1
placement,placement,1
offset,pos,0.1667
actualWidth,actualWidth,1
actualHeight,actualHeight,1
arrowDelta,delta,0.4
tip.arrowOffsetPosition,dimension,0.2609
isVertical,isVertical,1
saveState,eventName,0.4444
saveState,eventName,0.4444
groups,groups,1
command,command,1
group,ignoreGroup,0.4545
screenRange.start.row,row,0.1429
screenRange.start.column,column,0.25
screenRange.end.row,row,0.1579
screenRange.end.column,column,0.2727
desiredScrollRight,scrollRight,0.6111
desiredScrollLeft,scrollLeft,0.5882
desiredScrollLeft,scrollLeft,0.5882
desiredScrollRight,scrollRight,0.6111
yDelta,delta,0.6667
xDelta,delta,0.6667
screenRange.start.row,row,0.1429
screenRange.end.row,row,0.1579
desiredScrollBottom,scrollBottom,0.6316
desiredScrollTop,scrollTop,0.5625
desiredScrollTop,scrollTop,0.5625
desiredScrollBottom,scrollBottom,0.6316
options,opts,0.5714
path,path,1
path,path,1
path,path,1
bufferPath,path,0.3
reference,reference,1
create,create,1
propValue,value,0.4444
childSchema,schema,0.4545
value,value,1
keyPath,keyPath,1
item,value,0
itemSchema,schema,0.5
filePath,request,0.125
filePath,request,0.125
filePath,request,0.125
cachePath,relativeCachePath,0.4706
cachePath,relativeCachePath,0.4706
compiledCode,code,0.3333
properties,newProperties,0.6923
.menu,menuManager,0.2727
.contextMenu,contextMenuManager,0.5556
.themes,themeManager,0.3333
.marker,marker,0.8571
selector,selector,1
resultsBySelector.selector,result,0.2308
.namedScopeTable,table,0.25
.anonymousScopeTable,table,0.2
.location,location,0.8889
template,template,1
props,newProps,0.5
props,newProps,0.5
configFilePath,path,0.2143
marker,marker,1
options,options,1
object,object,1
options,opts,0.5714
options,opts,0.5714
options,opts,0.5714
options,opts,0.5714
event.data,text,0.2
event,event,1
event,event,1
Infinity,oldExtent,0
Infinity,newExtent,0.1111
decoration,decoration,1
event.data,text,0.2
.name,value,0.2
.name,value,0.2
deadline,deadline,1
.name,value,0.2
.name,value,0.2
.menu,menu,0.8
event.currentTarget,element,0.2632
event,event,1
range,bufferRange,0.4545
value,schema,0
label,label,1
label,label,1
target,key,0.1667
item.submenu,menu,0.3333
item.submenu,template,0.3333
.pendingScrollTopRow,scrollTopRow,0.55
.pendingScrollLeftColumn,scrollLeftColumn,0.625
direction,direction,1
activePane,pane,0.3
key,key,1
scope,scopeDescriptor,0.3333
keyPath,keyPath,1
options,options,1
keyPath,keyPath,1
options,options,1
keyPath,keyPath,1
options,options,1
path,path,1
scope,scopes,0.8333
scopeDescriptor,scopeDescriptor,1
keyPath,keyPath,1
options,options,1
range.start,scopes,0.1818
options,options,1
options,options,1
path,path,1
path,path,1
babelVersion,version,0.5
defaultOptions,options,0.4286
spec,spec,1
spec,spec,1
spec,spec,1
version,version,1
defaultOptions,options,0.4286
path,path,1
range,scopes,0.1667
path,path,1
path,path,1
.item,object,0.1667
range.end,scopes,0.1111
propertyFilter,propertyFilter,1
activePaneItem,item,0.2857
.location,location,0.8889
propertyFilter,propertyFilter,1
path,path,1
path,path,1
propertyFilter,propertyFilter,1
range.start,scopes,0.1818
range.end,scopes,0.1111
path,path,1
path,path,1
path,path,1
path,path,1
range.end,scopes,0.1111
range.start,scopes,0.1818
scopeDescriptor,scopes,0.4
scopeDescriptor,scopeDescriptor,1
value,object,0
defaultValue,object,0.0833
path,path,1
path,path,1
path,path,1
.props.location,location,0.5333
spec,spec,1
path,path,1
object,object,1
event,event,1
key,key,1
item,key,0.25
row,row,1
row,row,1
row,row,1
projectSpecification,projectSpecification,1
didChangeStyles,callback,0.0667
didChangeStyles,callback,0.0667
didChangeStyles,callback,0.0667
config,config,1
notifications,notifications,1
.window,target,0
.handleWindowBeforeunload,handler,0.28
.window,target,0
.handleWindowFocus,handler,0.3333
.window,target,0
.handleWindowBlur,handler,0.4118
.window,target,0
.handleWindowResize,handler,0.3158
.document,target,0.2222
.handleDocumentKeyEvent,handler,0.2609
.document,target,0.2222
.handleDocumentKeyEvent,handler,0.2609
.document,target,0.2222
.handleDocumentDrop,handler,0.3684
.document,target,0.2222
.handleDocumentDragover,handler,0.3043
.document,target,0.2222
.handleDocumentContextmenu,handler,0.2308
.feedUrl,updateUrl,0.3333
newChild,child,0.5
newChild,child,0.5
index,index,1
options,opts,0.5714
options,options,1
newBufferRange,bufferRange,0.7143
exclusive,exclusive,1
color,value,0.2
path,path,1
path,path,1
path,path,1
status,status,1
status,status,1
filePath,path,0.375
filePath,path,0.375
.properties,decorationProperties,0.45
type,type,1
event.currentTarget,element,0.2632
event,event,1
childPath,request,0.1111
childPath,modulePath,0.5
rootPath,rootPath,1
rootMetadata,rootMetadata,1
moduleCache,moduleCache,1
childPath,modulePath,0.5
rootPath,rootPath,1
rootMetadata,rootMetadata,1
moduleCache,moduleCache,1
message,message,1
stylesheetPath,lessStylesheetPath,0.7778
importFallbackVariables,importFallbackVariables,1
message,message,1
userStylesheetPath,stylesheetPath,0.7778
userStylesheetContents,source,0.0909
editor,key,0
keyPath,keyPath,1
keyPath,keyPath,1
value,value,1
schema,schema,1
selector,selector,1
screenRange,screenRange,1
options,options,1
screenRange,screenRange,1
options,options,1
nextColumnToMeasure,key,0.0526
textNode,textNode,1
textNode,textNode,1
lastTextNode,textNode,0.6667
lastTextNode.textContent.length,endIndex,0.129
item,item,1
menu,menu,1
item,item,1
menu,menu,1
matchingItem.submenu,menu,0.2
submenuItem,item,0.2727
itemSpecificity,itemSpecificity,1
direction,direction,1
activePane,pane,0.3
params,params,1
params,params,1
params,params,1
params,params,1
options,options,1
options,options,1
paneView,paneView,1
tag,id,0
scopeDescriptor,scope,0.3333
keyPath,keyPath,1
callback,callback,1
keyPath,keyPath,1
callback,callback,1
fn,fn,1
fn,fn,1
callback,callback,1
callback,callback,1
callback,callback,1
fn,fn,1
callback,callback,1
callback,callback,1
keyPath,args,0
keyPath,keyPath,1
fn,fn,1
scope,scope,1
keyPath,keyPath,1
callback,callback,1
callback,callback,1
callback,callback,1
scopeDescriptor,scope,0.3333
keyPath,keyPath,1
callback,callback,1
keyPath,keyPath,1
callback,callback,1
callback,callback,1
callback,callback,1
callback,callback,1
process.env.ATOM_HOME,request,0.1429
line,numStr,0
column,numStr,0
panel,excludedPanel,0.3077
flashClass,key,0
flashClass,editor,0
row,row,1
row,row,1
row,row,1
row,row,1
row,row,1
column,column,1
row,row,1
column,column,1
row,row,1
column,column,1
range,scopes,0.1667
range,scopes,0.1667
bounds,rect,0
point,point,1
toggleButtonBounds,rect,0.1111
point,point,1
bounds,rect,0
point,point,1
boundary.position.row,row,0.1429
boundary.position.column,column,0.25
className,className,1
style,style,1
row,row,1
className,className,1
style,style,1
row,row,1
className,className,1
style,style,1
tileStartRow,key,0.0833
longestLineRow,row,0.1429
longestLine,screenLine,0.4545
text,text,1
orgPlacement,editor,0
placement,placement,1
pos,pos,1
actualWidth,actualWidth,1
actualHeight,actualHeight,1
calculatedOffset,offset,0.3125
placement,placement,1
.name,keyPath,0.1429
.name,keyPath,0.1429
host,key,0
path,path,1
child,child,1
.state.draggingItem,item,0.2105
.location,location,0.8889
.state.draggingItem,item,0.2105
.location,location,0.8889
row,row,1
tileStartRow,row,0.25
tileEndRow,row,0.2
tileStartRow,row,0.25
tileStartRow,row,0.25
tileStartRow,row,0.25
.flexScale,flexScale,0.9
projectSpecification.config,newSettings,0.2222
projectSpecification.originPath,projectFile,0.2581
newChild,root,0
oldChild,child,0.5
newChild,child,0.5
.container,container,0.9
row,row,1
screenLine,screenLine,1
stylesheetPath,stylesheetPath,1
fullPath,path,0.375
content,text,0.4286
priority,priority,1
skipDeprecatedSelectorsTransformation,skipDeprecatedSelectorsTransformation,1
newSettings,newSettings,1
source,source,1
settings,value,0
newSettings,newSettings,1
options,options,1
resolvedPath,key,0.0833
resolvedPathWithExtension,key,0.04
version,version,1
range,rawRange,0.625
styleElement,styleElement,1
styleElement,styleElement,1
root,object,0.1667
pixelPosition,pixelPosition,1
top,pixelPosition,0.1538
row,row,1
row,row,1
row,row,1
textNode,textNode,1
textNode.length,endIndex,0.2
containingTextNode,textNode,0.4444
charIndex,startIndex,0.7
nextCharIndex,endIndex,0.4615
Infinity,scrollTop,0
start.row,startRow,0.7778
options,options,1
options,options,1
selector,selector,1
position,scopes,0.125
options,options,1
options,options,1
keyPath,keyPath,1
value,value,1
alpha,alphaString,0.4545
blue,colorString,0.0909
green,colorString,0.1818
red,colorString,0.0909
template,object,0.125
cacheDir,directory,0.1111
bufferRange,scopes,0.0909
.options.item,object,0.1538
keyPath,keyPath,1
defaults,value,0.25
column,column,1
row,row,1
newProperties,decorationParams,0.25
source,source,1
childValue,schema,0.2
options,options,1
scrollTopRow,row,0.25
typeTable.parents,table,0.2941
indexTable,table,0.4
typeTable,defaultTable,0.4167
indexTable.parents,table,0.2222
process.platform,key,0.0625
oldProps.screenLines,a,0
newProps.screenLines,b,0
oldProps.lineDecorations,a,0.0417
newProps.lineDecorations,b,0
oldProps.textDecorations.i,oldDecorations,0.5385
newProps.textDecorations.i,newDecorations,0.5385
oldProps.keys,a,0
newProps.keys,b,0
oldProps.bufferRows,a,0
newProps.bufferRows,b,0.0526
oldProps.foldableFlags,a,0.0455
newProps.foldableFlags,b,0.0455
oldProps.decorations,a,0.05
newProps.decorations,b,0
orgPlacement,editor,0
placement,placement,1
pos,pos,1
actualWidth,actualWidth,1
actualHeight,actualHeight,1
calculatedOffset,offset,0.3125
placement,placement,1
.menu,menu,0.8
cmdOptions,options,0.6
.command,command,0.875
.args,args,0.8
.options,options,0.875
.command,command,0.875
.args,args,0.8
.options,options,0.875
.stdout,stdout,0.8571
.stderr,stderr,0.8571
.exit,exit,0.8
resourcePath,filePath,0.4167
devResourcePath,filePath,0.3333
getBufferPathStatus,callback,0.1053
handleFocus,eventName,0
handleBlur,eventName,0
.updateWindowTitle,callback,0.0556
template,template,1
version,key,0.1429
version,key,0.1429
event.currentTarget,element,0.2632
state,newState,0.5
.scopeName,scopeName,0.9
.scopeName,scopeName,0.9
element,element,1
options,options,1
css,value,0
spec,spec,1
spec,spec,1
menu,menu,1
matchingItem.submenu,menu,0.2
submenuItem,item,0.2727
source,source,1
keyPath,keyPath,1
subscription,editor,0.25
template,template,1
keystrokesByCommand,keystrokesByCommand,1
template,template,1
template,template,1
oldProps.className,editor,0.1111
newProps,newProps,1
oldProps,oldProps,1
newProps,newProps,1
oldProps,oldProps,1
newProps,newProps,1
newProps,newProps,1
.props.textDecorations,oldDecorations,0.5455
newProps.textDecorations,newDecorations,0.5833
newProps,newProps,1
props,props,1
className,editor,0
styleSheetSource,source,0.375
start.row,row,0.3333
start.row,row,0.3333
start.column,column,0.5
end.row,row,0.4286
end.row,row,0.4286
end.column,column,0.6
mousePosition,point,0.1538
oldProps,oldProps,1
oldScreenLine,screenLine,0.6923
newEditorWidthInChars,editorWidthInChars,0.8571
renderedStartRow,renderedStartRow,1
decoration,decoration,1
row,row,1
row,row,1
column,column,1
.cursorsBlinkedOff,cursorsBlinkedOff,0.9444
screenRange,screenRange,1
options,options,1
screenRange.start.row,row,0.1429
screenRange.start.column,column,0.25
screenRange.end.row,row,0.1579
screenRange.end.column,column,0.2727
styleSheet,css,0
context,context,1
styleSheet,css,0
context,context,1
compiler,compiler,1
filePath,filePath,1
extension,extension,1
id,key,0
text,text,1
